  Carrier,Date,Flight No.,Tail No.,Dest. Airport ,Scheduled Depart.,Actual Depart.
  US,08/01/2012,0002,N523UW,PHX,05:15,05:12
  US,08/01/2012,0005,N625AW,PHL,18:55,18:51
  US,08/01/2012,0006,N624AW,PHX,14:10,14:07
  US,08/01/2012,0019,N551UW,CLT,13:50,13:44
  US,08/01/2012,0097,N648AW,PHL,06:00,05:55
  US,08/01/2012,0114,N519UW,CLT,07:45,07:52
  US,08/01/2012,0115,N677AW,CLT,09:25,09:26
  US,08/01/2012,0192,N523UW,PHX,17:15,17:13
  US,08/01/2012,0195,N552UW,PHX,07:10,07:07
  US,08/01/2012,0407,N628AW,PHX,11:00,10:56
  US,08/01/2012,0417,N508AY,PHX,20:10,20:06
  US,08/01/2012,0702,N117UW,PHL,16:00,15:59
  US,08/01/2012,0798,N169UW,PHL,13:50,13:58
  US,08/01/2012,0925,N128UW,CLT,12:10,12:08
  US,08/01/2012,0927,N109UW,CLT,16:20,16:16
  US,08/01/2012,0943,N185UW,PHL,07:26,07:19
  US,08/01/2012,0988,N102UW,CLT,18:25,18:15
  US,08/01/2012,0997,N117UW,PHL,09:50,09:53
  US,08/01/2012,1011,N126UW,CLT,17:55,17:47
  US,08/01/2012,1032,N162UW,CLT,05:45,05:47
  US,08/01/2012,1167,N102UW,PHL,11:55,11:45
  US,08/02/2012,0002,N804AW,PHX,05:15,05:07
  US,08/02/2012,0005,N629AW,PHL,18:55,18:50
  US,08/02/2012,0006,N624AW,PHX,14:10,14:07
  US,08/02/2012,0019,N546UW,CLT,13:50,13:49
  US,08/02/2012,0097,N656AW,PHL,06:00,05:52
  US,08/02/2012,0114,N542UW,CLT,07:45,07:51
  US,08/02/2012,0115,N663AW,CLT,09:25,09:21
  US,08/02/2012,0192,N550UW,PHX,17:15,17:12
  US,08/02/2012,0195,N535UW,PHX,07:10,07:07
  US,08/02/2012,0407,N625AW,PHX,11:00,10:57
  US,08/02/2012,0417,N545UW,PHX,20:10,20:09
  US,08/02/2012,0702,N125UW,PHL,16:00,15:56
  US,08/02/2012,0798,N194UW,PHL,13:50,13:46
  US,08/02/2012,0925,N176UW,CLT,12:10,12:03
  US,08/02/2012,0927,N184US,CLT,16:20,16:27
  US,08/02/2012,0943,N177US,PHL,07:26,07:18
  US,08/02/2012,0988,N112US,CLT,18:25,18:17
  US,08/02/2012,0997,N125UW,PHL,09:50,09:44
  US,08/02/2012,1011,N117UW,CLT,17:55,18:18
  US,08/02/2012,1032,N554UW,CLT,05:45,05:42
  US,08/02/2012,1167,N113UW,PHL,11:55,11:54
  US,08/03/2012,0002,N508AY,PHX,05:15,05:13
  US,08/03/2012,0005,N628AW,PHL,18:55,18:52
  US,08/03/2012,0006,N637AW,PHX,14:10,14:11
  US,08/03/2012,0019,N509AY,CLT,13:50,13:49
  US,08/03/2012,0097,N664AW,PHL,06:00,05:56
